Link Type,Location Type,Title,Link,URL,PDF Size (bytes),Page Count,Text-based,Tagged,Notes,Equalify Scan Results
Box,Event (ACF Field),Hank Howe&#8217;s Career Celebration (Field: description),https://uofi.box.com/s/45s3mrlw7ncesbsxmu5aqjn0a5ecar6f,https://bios.uic.edu/events/hank-howes-career-celebration/,2407026.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),A Second Chance – Central American Minors Seeking Asylum in the U.S. (Field: description),https://app.box.com/s/pg9rr50ur3nutob1a1h35284ejpmwrcn,https://latinocultural.uic.edu/events/a-second-chance-central-american-minors-seeking-asylum-in-the-u-s/,2405243.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),CHW Resources (Field: intro_text_body),https://co-opchicago-es.ihrp.uic.edu/wp-content/uploads/sites/707/2020/06/CHW-Oral-Health-Training-v7.pdf,https://co-opchicago.ihrp.uic.edu/chw-resources-2/,2387316.0,60.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Recursos (Field: intro_text_body),https://co-opchicago-es.ihrp.uic.edu/wp-content/uploads/sites/707/2020/06/CHW-Oral-Health-Training-v7.pdf,https://co-opchicago-es.ihrp.uic.edu/chw-resources-2/,2387316.0,60.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Undergraduate Course Syllabi (Field: intro_text_body),https://uofi.box.com/s/3qamtea32ath30g0ch58wzujutob686m,https://bios.uic.edu/academics/undergraduate-studies/undergraduate-course-syllabi/,2380104,17,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Introduction to 3D Modeling with SolidWorks (Field: description),https://uofi.box.com/s/i0qfmbo23uywb1jlj2lmataue667zl60,https://library.uic.edu/events/introduction-to-3d-modeling-with-solidworks/,2379016.0,6.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),"Harvest Fest: Cultivating Crops, Celebrating Communities (Field: description)",https://app.box.com/s/olpurlhzo5j5is83b33ud74e7zsuz6iy,https://latinocultural.uic.edu/events/harvest-fest-cultivating-crops-celebrating-communities/,2378210.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Undergraduate Course Syllabi (Field: intro_text_body),https://uofi.box.com/s/cv8xn0ua8bj75sho9fvohd2q570unk55,https://bios.uic.edu/academics/undergraduate-studies/undergraduate-course-syllabi/,2368331,15,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Undergraduate Course Syllabi (Field: intro_text_body),https://uofi.box.com/s/xp2ptfzbolcm5qmediu2wwbbhmeq3j57,https://bios.uic.edu/academics/undergraduate-studies/undergraduate-course-syllabi/,2368190,16,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),"Harvest Fest: Cultivating Crops, Celebrating Communities (Field: description)",https://app.box.com/s/hgnwibltt93wtllp1groqg6byifcqlox,https://latinocultural.uic.edu/events/harvest-fest-cultivating-crops-celebrating-communities/,2364036.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Information for Inventors (Field: intro_text_body),https://uofi.box.com/s/bqlpysmgam7osimm9m5o3w42m6msod9s,https://law.uic.edu/experiential-education/clinics/patent/inventors/,2361747.0,40.0,FALSE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: Pre-Law Advising Reminders and Midyear Update (Field: intro_text_body),https://uofi.box.com/s/foixw31acfjiidxjgzjdyuslqfle95b7,https://advising-old.red.uic.edu/news-stories/share-with-students-pre-law-advising-reminders-and-midyear-update/,2354704.0,8.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Event (ACF Field),Know Your Rights! Understand Your Civil Liberties (Field: description),https://app.box.com/s/ptcvfake7vhqke20wk3arfv0gl95dz7i,https://latinocultural.uic.edu/events/know-your-rights-understand-your-civil-liberties/,2346961.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Home Grown Herbs: A Hands-on Harvesting Workshop (Field: description),https://app.box.com/s/3ctgwfnuor365d5e4myih522toicg5hr,https://latinocultural.uic.edu/events/home-grown-herbs-a-hands-on-harvesting-workshop/,2317335,1,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Hydrogen Fuel Cells: A Case Study on the Power of the White House to Shape Federal Funding for R&amp;D (Field: intro_text_body),https://www1.eere.energy.gov/vehiclesandfuels/pdfs/program/phev_rd_plan_02-28-07.pdf,https://gfrc.uic.edu/the-government-finance-research-blog/hydrogen-fuel-cells-a-case-study-on-the-power-of-the-white-house-to-shape-federal-funding-for-rd/,2314122.0,44.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,News (ACF Field),Year at a Glance (Field: intro_text_body),http://latinocultural.uic.edu/wp-content/uploads/sites/231/2018/05/LCC_2013-2014_Year-at-a-Glance.pdf,https://latinocultural.uic.edu/news-stories/year-at-a-glance/,2312047.0,4.0,FALSE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Annual Reports (Field: intro_text_body),https://app.box.com/s/h7gal7xwygwcguvt52ypaiwoud0m2zua,https://latinocultural.uic.edu/annual-reports/,2312047.0,4.0,FALSE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Information for Inventors (Field: intro_text_body),https://uofi.box.com/s/vr1xqoble6ss4f64ku13aevuy9a6yuvs,https://law.uic.edu/experiential-education/clinics/patent/inventors/,2311689.0,35.0,FALSE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),SHARE WITH STUDENTS: Considering a Graduate Degree in Business? Lunch N&#8217; Learn on 2/27! (Field: intro_text_body),https://uofi.box.com/s/3rpcrga2ggykvut4lxiow6kmvi2toebh,https://advising-old.red.uic.edu/news-stories/share-with-students-considering-a-graduate-degree-in-business-lunch-n-learn-on/,2298432.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Rethinking Fiscal Reserves (Field: intro_text_body),https://gfoaorg.cdn.prismic.io/gfoaorg/cd9544c4-8db9-49e6-beb1-3c39815fc464_Rethinking+ReservesR2.pdf,https://gfrc.uic.edu/the-government-finance-research-blog/rethinking-fiscal-reserves/,2290787.0,29.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),The Art of Alebrijes – Painting Workshop (Spring 2017) (Field: description),https://app.box.com/s/i90yyfuhczex421nwool9ybv7kxf8lyv,https://latinocultural.uic.edu/events/the-art-of-alebrijes-painting-workshop-spring-2017/,2285650,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Transcending Masculinity Initiative Kickoff [Pilot Program] (Field: description),https://app.box.com/s/5j4ikderuoozjcrv2pr8ej5wo7qncp6y,https://latinocultural.uic.edu/events/transcending-masculinity-initiative-kickoff-pilot-program/,2277421.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),The Pulse (Field: intro_text_body),http://sa.uic.edu/wp-content/uploads/sites/10/2018/04/ThePulse_February2017.pdf,https://sa.uic.edu/the-pulse/,2273639.0,4.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),Earth Week Celebration at the LCC (Field: description),https://app.box.com/s/1iglla6l1bpiwclzb3lcyvxsbu90lw5k,https://latinocultural.uic.edu/events/earth-week-historias-monarca-seed-bomb-workshop/,2267497.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Safety Meeting Material (Field: intro_text_body),https://uofi.box.com/s/rnus27a08ed6d4jqz1dvp6i517e3nr4p,https://ehso.uic.edu/occupational-safety/ovcas-safety/safety-meeting-material/,2252685.0,4.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),"SHARE WITH STUDENTS: What&#8217;s Going On? Resumes Virtually Friday October 1st, 2021 10AM-12PM (Field: intro_text_body)",https://uofi.box.com/s/j5y4rxlphwg6wfpwzwfyqnq41asf68s1,https://advising-old.red.uic.edu/news-stories/share-with-students-whats-going-on-resumes-virtually-friday-october-1st-2021-10am-12pm/,2248537.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Deconstructing Privilege and Problematic Masculinity (Field: description),https://app.box.com/s/jqkv8heq6b3z0swmrnfefbp4epik1khl,https://latinocultural.uic.edu/events/deconstructing-privilege-and-problematic-masculinity/,2237737.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Masculinity Without Men (Field: description),https://app.box.com/s/gui2ycsrfv8cz5vvozqoontfm3xre71j,https://latinocultural.uic.edu/events/masculinity-without-men/,2236202.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),MPA Alum Greg Cameron Receives Distinguished Service Award (Field: intro_text_body),https://uofi.app.box.com/file/521994481717?s=439fuunb5zz2wq2whqg6mycb1pmvghx8,https://cuppa.uic.edu/news-stories/mpa-alum-greg-cameron-receives-distinguished-service-award/,2232731.0,28.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),CUPPA Magazine Available Now. Read the Fall 2019 Issue. (Field: intro_text_body),https://uofi.box.com/s/439fuunb5zz2wq2whqg6mycb1pmvghx8,https://cuppa.uic.edu/news-stories/cuppa-magazine-out-now-read-the-fall-2019-issue/,2232731.0,28.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),PROFESSIONAL DEVELOPMENT: NACADA Leadership Candidates &#8211; Vote for UIC&#8217;s Diana Soriano (Field: intro_text_body),https://uofi.box.com/s/mkoubf9t2s9me0fr3mrthfhk0mk5kzhe,https://advising-old.red.uic.edu/news-stories/professional-development-nacada-leadership-candidates-vote-for-uics-diana-soriano/,2222767.0,11.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Event (ACF Field),Politics of Space: The Aztec Calendar Stone in Pilsen (Field: description),https://app.box.com/s/hewstd1bac3dx3yg481dp1ygr8mdejyk,https://latinocultural.uic.edu/events/politics-of-space-the-aztec-calendar-stone-in-pilsen/,2204575.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),The Kitchen Table  – Cooking up Stories to Feed our Souls (Field: description),https://app.box.com/s/2xxcglnoem383a01y6w354umo3z3m3jw,https://latinocultural.uic.edu/events/artivism-the-kitchen-table-cooking-up-stories-to-feed-our-souls/,2182881.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),FOR ADVISORS&#8217; INFORMATION/SHARE WITH STUDENTS: Yellow Peril &amp; COVID-19 Teach-In Town Hall on 5/1 &#8211; RSVP Required (Field: intro_text_body),https://uofi.box.com/s/wb0a6hk6k0vucuwbh5h4cepj35cqff65,https://advising-old.red.uic.edu/news-stories/for-advisors-information-share-with-students-yellow-peril-and-covid-19-teach-in/,2168602.0,1.0,FALSE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Finals Week &amp; Relaxing Activities at the Latino Cultural Center (Field: description),https://app.box.com/s/ybrmm951xy30tzfuwxqaczoq0zxjrrdc,https://latinocultural.uic.edu/events/finals-week-relaxing-activities-at-the-latino-cultural-center/,2155306.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),"The Cook County, Illinois, Sweetened Beverage Tax: A Missed Opportunity (Field: intro_text_body)",https://www.seattle.gov/Documents/Departments/SweetenedBeverageTaxCommAdvisoryBoard/FactSheets/2019_SBT_Report_FINAL_11.3.2020.pdf,https://gfrc.uic.edu/the-cook-county-illinois-sweetened-beverage-tax-a-missed-opportunity/,2140379.0,55.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),UIC Disability Climate Survey (Field: intro_text_body),https://uofi.box.com/s/oli53s6dyfwe9b4tzynfyqcb68dixaic,https://ccspd.uic.edu/resources/climate-survey/,2138843.0,83.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Page (ACF Field),Biophysics Core (Field: intro_text_body),http://rrc.uic.edu/wp-content/uploads/sites/112/2020/01/BiophysicsCoreIntro.pdf,https://rrc.uic.edu/cores/biophysics-core/,2125436.0,21.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),2015 Leadership Retreat (Field: intro_text_body),http://leadership.red.uic.edu/wp-content/uploads/sites/56/2017/06/Chancellor_presentationLR15.pdf,https://leadership.uic.edu/previous-leadership-retreats/2015-leadership-retreat/,2120479.0,16.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),HireTouch Job Aids (Field: intro_text_body),http://oae.uic.edu/wp-content/uploads/sites/32/2017/07/APSearchWaiverAide.pdf,https://oae.uic.edu/ah/academic-hiring-process/hiretouch-job-aids/,2119391.0,27.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,News (ACF Field),UIC at Lunar and Planetary Science Conference (Field: intro_text_body),https://www.hou.usra.edu/meetings/lpsc2018/pdf/1593.pdf,https://eaes.uic.edu/news-stories/uic-at-lunar-and-planetary-society-conference/,2118604.0,2.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Virtual Open House for Prospective Graduate Students (Field: description),https://uofi.box.com/s/o2p8rqam8jq3v6evc16dpq5w51m8t4qg,https://lcsl.uic.edu/events/virtual-open-house-for-prospective-graduate-students/,2117665.0,1.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Page (ACF Field),Civic Engagement (Field: intro_text_body),http://sa.uic.edu/wp-content/uploads/sites/10/2024/06/NSLVE-Campus-Report-2022-001776.pdf,https://sa.uic.edu/about/student-affairs-assessment-2/reports-2/student-engagement-2/civic-engagement/,2115193.0,18.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Get down and dirty! (Field: description),https://app.box.com/s/9dnszlpp3ei2zkwa6vlwzioiacx5p0pp,https://latinocultural.uic.edu/events/get-down-and-dirty/,2113372,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),"Monarchs, Seed Bombs &amp; Migration Stories (Field: description)",https://app.box.com/s/s179te9f9r2kw3eb9mbmmc4qnkofus7a,https://latinocultural.uic.edu/events/monarchs-seed-bombs-migration-stories/,2113372,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Earth Week 2019 at the Latino Cultural Center (Field: description),https://app.box.com/s/zhfs1rrqzij1voks97ldv30vbycg79ri,https://latinocultural.uic.edu/events/earth-week-2019-at-the-latino-cultural-center/,2103469.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),LCC &#8211; Earth Week: Zona Abierta: We Don&#8217;t Want your Trash (Field: description),https://app.box.com/s/zhfs1rrqzij1voks97ldv30vbycg79ri,https://diversity-old.red.uic.edu/events/lcc-earth-week-2019-at-the-latino-cultural-center-2-2/,2103469.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),LCC &#8211; Earth Week: Zona Abierta: We Don&#8217;t Want your Trash (Field: description),https://app.box.com/s/zhfs1rrqzij1voks97ldv30vbycg79ri,https://diversity.uic.edu/events/lcc-earth-week-2019-at-the-latino-cultural-center-2-2/,2103469.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),The Art of Alebrijes – Painting Workshop (Fall 2016) (Field: description),https://app.box.com/s/3yu8h5xpg0x3xfwg9r8h9pq13u4eir10,https://latinocultural.uic.edu/events/the-art-of-alebrijes-painting-workshop-fall-2016/,2102302,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Annual Reports &amp; Documents (Field: intro_text_body),https://app.box.com/s/uksgqri2y8otdxsdbtmnrn0z014alf3p,https://latinocultural.uic.edu/archives/annual-reports-documents/,2101456.0,28.0,FALSE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),The Pulse (Field: intro_text_body),http://sa.uic.edu/wp-content/uploads/sites/10/2018/04/ThePulse_November2016.pdf,https://sa.uic.edu/the-pulse/,2098317.0,4.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),Annual Reports &amp; Documents (Field: intro_text_body),https://app.box.com/s/1pcdjubuxnx8weho622h15zz2cx3bivw,https://latinocultural.uic.edu/archives/annual-reports-documents/,2091391.0,8.0,FALSE,FALSE,No StructTreeRoot tag,
PDF,Event (ACF Field),Faculty Development Workshop – Mentoring a Quality Improvement DNP Project (Field: description),https://www.aacnnursing.org/Portals/42/AcademicNursing/pdf/Essentials-2021.pdf,https://nursing.uic.edu/events/faculty-development-workshop-mentoring-a-quality-improvement-dnp-project/,2088720.0,82.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,News (ACF Field),Building Wealth Through Real Estate (Field: intro_text_body),http://advance.uic.edu/wp-content/uploads/sites/7/2022/07/Building-Wealth-With-Real-Estate_Final71122-1.pdf,https://advance.uic.edu/news-stories/building-wealth-through-real-estate-2/,2085440.0,44.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,News (ACF Field),SHARE WITH STUDENTS: Careers in the Helping Professions Virtual Panel on 2/17 (Field: intro_text_body),https://uofi.box.com/s/xcg1oebb7kpv0xddzrijsu7kvgzjdju0,https://advising-old.red.uic.edu/news-stories/share-with-students-careers-in-the-helping-professions-virtual-panel-on-2-17/,2073952.0,1.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Page (ACF Field),"Alice Rivlin Made State and Local Governments Better, Too (Field: intro_text_body)",https://www.taxpolicycenter.org/sites/default/files/publication/140136/2000646-assessing-fiscal-capacities-of-states-a-representative-revenue-system-representative-expenditure-system-approach-fiscal-year-2012.pdf,https://gfrc.uic.edu/alice-rivlin-made-state-and-local-governments-better-too/,2067903.0,150.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),Centers for Cultural Understanding and Social Change (CCUSC) at National Voter Registration Day! (Field: description),https://app.box.com/s/6l22irdfqvcx3y0ikjq1ter4luskrh8m,https://latinocultural.uic.edu/events/centers-for-cultural-understanding-and-social-change-ccusc-at-national-voter-registration-day/,2051072.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Menu,Machine Shop Safety Plan,https://uofi.box.com/s/8oc5p8jqeno9gwcmd49zvtkeuroyon80,,2036196.0,69.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),SHARE WITH STUDENTS: Bachelor of Arts in Public Policy Online Info Session on 3/15 (Field: intro_text_body),https://uofi.box.com/s/7qa3iio6oeiei02ei7sg18p6m7i54qrb,https://advising-old.red.uic.edu/news-stories/share-with-students-bachelor-of-arts-in-public-policy-online-info-session-on-3-15/,2036142.0,1.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Event (ACF Field),The Refugee Crisis: A Conference (Field: description),https://huminst.uic.edu/wp-content/uploads/sites/412/2019/08/UNHCR-Refugee-report-2018-Ch.-1-Pt.-2.pdf,https://huminst.uic.edu/events/the-refugee-crisis-a-conference/,2031884.0,4.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Pipeline &#8211; Playwright written by Dominique Morisseau and directed by Cheryl Lynn Bruce. (Field: description),https://app.box.com/s/mx8ee2sda4n8100ly0k43tk6edk9kv06,https://latinocultural.uic.edu/events/zona-abierta-pipeline-playwright-written-by-dominique-morisseau-and-directed-by-cheryl-lynn-bruce/,2022693.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),LCC Affiliated Student Organizations&#8217; Open House &#8211; Fall 2018 (Field: description),https://app.box.com/s/3jx067qfjhz54f1xekhuc0zrqqc5etkz,https://latinocultural.uic.edu/events/lcc-affiliated-student-organizations-open-house-fall-2018/,2019257.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Profile (ACF Field),"Featherstone, David (Field: about)",https://davefeatherstonememorial.weebly.com/uploads/5/8/4/4/58448357/def_service.pdf,https://bios.uic.edu/profiles/featherstone-david/,2018247.0,2.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),SHARE WITH STUDENTS: ARABAMCC is co-sponsoring two events this March on 3/12 and 3/19! (Field: intro_text_body),https://uofi.box.com/s/ch4uf6isibpvv8pklzdxo6ftlj7w7wcg,https://advising-old.red.uic.edu/news-stories/share-with-students-arabamcc-is-co-sponsoring-two-events-this-march-on-3-12-and-3-19/,2012972.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),The Unsolved Riddle of Tax Incentives (Field: intro_text_body),https://www.legis.iowa.gov/docs/publications/SD/14745.pdf,https://gfrc.uic.edu/the-unsolved-riddle-of-tax-incentives/,2011827.0,29.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),LCC Affiliated Student Organizations’ Open House – Spring 2015 (Field: description),https://app.box.com/s/40k84k191yhg5v6re28dtu31ksnpk8pt,https://latinocultural.uic.edu/events/lcc-affiliated-student-organizations-open-house-spring-2015/,2007861,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Safety Meeting Material (Field: intro_text_body),https://uofi.box.com/s/qyire8zsn3w0r6pb5cwl9k8lkzuj1c51,https://ehso.uic.edu/occupational-safety/ovcas-safety/safety-meeting-material/,1996763.0,2.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: Upcoming Cultural Center Events THIS WEEK and virtual communities! (Field: intro_text_body),https://uofi.box.com/s/l2ww3wt87rse1txdyg3pn008dtf3kv24,https://advising-old.red.uic.edu/news-stories/share-with-students-upcoming-cultural-center-events-this-week-and-virtual-communities/,1994718.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Know Your Rights &amp; Your Power (Field: description),https://app.box.com/s/r8io9syt1aq0oqlze5d04ahp8v6r1hg7,https://latinocultural.uic.edu/events/know-your-rights-your-power/,1993674.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Electron Microscopy Core Seminar Series (Field: description),https://uofi.box.com/s/7hki6wpsxmzkasv7gry0piv6y17hksgy,https://rrc.uic.edu/events/electron-microscopy-core-seminar-series-2/,1989025.0,3.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Page (ACF Field),Rafael Cintrón Ortiz (Field: intro_text_body),https://app.box.com/s/c1lzla9e1hug1srpzpfirufo9ykt6zu8,https://latinocultural.uic.edu/home/rafael-cintron-ortiz/,1986744.0,1.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Page (ACF Field),Current Agenda Items (Field: intro_text_body),https://uofi.box.com/v/SenateAgenda,https://senate.uic.edu/current-agenda-items/,1979543.0,42.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: All Majors Career Fair being held on March 21st! (Field: intro_text_body),https://uofi.box.com/s/spmvdfvjynqgms0od8smz9mvj81j3jvu,https://advising-old.red.uic.edu/news-stories/share-with-students-all-majors-career-fair-being-held-on-march-21st/,1958561.0,12.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Menu,Native American Task Force Report (2021),http://diversity.uic.edu/wp-content/uploads/sites/98/2021/04/NATF-Final-Report.pdf,,1954682.0,54.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),People on the Move: Forced Migration and Human Rights Violations in the Americas (Field: description),https://app.box.com/s/3up0u409mnq0z0lp4izy8h6pt41poft5,https://latinocultural.uic.edu/events/zona-abierta-people-on-the-move-forced-migration-and-human-rights-violations-in-the-americas/,1954641.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Profile (ACF Field),"Stimson, Blake (Field: about)",http://arthistory.uic.edu/wp-content/uploads/sites/422/2019/03/AH-530-SYLLABUS-Spring-2018.pdf,https://arthistory.uic.edu/profiles/stimson-blake/,1932189.0,7.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),SHARE WITH STUDENTS: Black History Month Bowl-A-Thon on February 26th! (Field: intro_text_body),https://uofi.box.com/s/gpy9g02hq66aisgygpal32cx6xwt6jdw,https://advising-old.red.uic.edu/news-stories/share-with-students-black-history-month-bowl-a-thon-on-february-26th/,1926859.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Stand Up for Justice: The Ralph Lazo Story (Field: description),https://app.box.com/s/6ten6wmcrefju5sdkxepboqxjfn9nybw,https://latinocultural.uic.edu/events/civic-cinema-stand-up-for-justice-the-ralph-lazo-story/,1867148.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Procurement of Design and Construction Services (Field: intro_text_body),https://www.uocpres.uillinois.edu/UserFiles/Servers/Server_7758/file/UI/manual/QBS.pdf,https://policies.uic.edu/uic-policy-library/facilities-and-safety/procurement-of-design-and-construction-services/,1858376.0,42.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,News (ACF Field),MEASURING THE ECONOMIC IMPACT  OF COVID-19 ON SURVIVORS OF COLOR (Field: intro_text_body),https://metoomvmt.org/wp-content/uploads/2020/11/MeTooFreeFrom_CovidImpactReport2020.pdf,https://healthywork.uic.edu/news-stories/measuring-the-economic-impact-of-covid-19-on-survivors-of-color/,1852514.0,35.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),HireTouch Job Aids (Field: intro_text_body),http://oae.uic.edu/wp-content/uploads/sites/32/2017/07/FacWorkflow.pdf,https://oae.uic.edu/ah/academic-hiring-process/hiretouch-job-aids/,1849560.0,24.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),Procurement of Design and Construction Services (Field: intro_text_body),https://www.uocpres.uillinois.edu/UserFiles/Servers/Server_7758/file/training/documents/CapitalManual.pdf,https://policies.uic.edu/uic-policy-library/facilities-and-safety/procurement-of-design-and-construction-services/,1847172.0,61.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),America Divided: Out of Reach (Field: description),https://app.box.com/s/jyqijt31jzyye5k4jp4vo2m9c6fvf86t,https://latinocultural.uic.edu/events/america-divided-out-of-reach/,1842340,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),The Art of Political Cartoons (Field: description),https://app.box.com/s/nq6nvjbt14olv9cx8lcbixypxi0j4vck,https://latinocultural.uic.edu/events/the-art-of-political-cartoons/,1840462,1,TRUE,FALSE,No StructTreeRoot tag,
Box,Menu,Residence Hall Fire Safety,https://uofi.box.com/s/doukut1dotxn9qru22gmg4wjkwt30na2,,1838704.0,32.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: Two upcoming workshops offered by the CHANCE Program 9/17 and 9/25! (Field: intro_text_body),https://uofi.box.com/s/if3rpua9hu4h4kxxlncohggy6thqo25z,https://advising-old.red.uic.edu/news-stories/share-with-students-two-upcoming-workshops-offered-by-the-chance-program-9-17-and-9-25/,1831376.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Open Expression Policy (Field: intro_text_body),https://dos.uic.edu/wp-content/uploads/sites/262/2018/10/DOS-Student-Disciplinary-Policy-2018-2019-FINAL.pdf,https://policies.uic.edu/uic-policy-library/student-affairs/uic-policy-on-open-expression-2/,1822451.0,38.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),Bruker-Nano Discover 8 X-Ray Diffraction System (Field: intro_text_body),https://ncf.uic.edu/wp-content/uploads/sites/819/2022/04/Bruker-D8-XRD-Instructions.pdf,https://ncf.uic.edu/bruker-nano-discover-8-x-ray-diffraction-system/,1817584.0,18.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),Nanoscribe 3D Lithography System (Field: intro_text_body),https://ncf.uic.edu/wp-content/uploads/sites/819/2023/06/Nanoscribe-3D-Lithography-System-Manual.pdf,https://ncf.uic.edu/nanoscribe-3d-lithography-system/,1811115.0,15.0,TRUE,TRUE,Skipped: Only Equalify scan required,
